,fullTitle,subjects,holdings
4354,Psychophysical approaches to cognition / edited by Daniel Algom.,"Psychophysics, Cognition, Senses and sensation",BF 237 .P863 1992
4355,"Statistics for the behavioral sciences / Frederick J. Gravetter, The College at Brockport, State University of New York, Larry B. Wallnau, The College at Brockport, State University of New York.","Psychology -- Statistical methods, Educational statistics",BF 39 .G72 2007
4356,Aggressive behavior.,"Aggressiveness -- Periodicals, Violence -- Periodicals, Psychology, Experimental -- Periodicals",None
4357,The complete prophecies of Nostradamus / edited and introduced by Ned Halley.,Prophecies (Occultism),BF 1815 .N8 A3 2001
4358,"Judgment, decision, and choice : a cognitive/behavioral synthesis / Howard Rachlin.","Decision making, Choice (Psychology), Psychology, Comparative",BF 448 .R33 1989
4359,The world in your head : a gestalt view of the mechanism of conscious experience / Steven Lehar.,"Perception, Consciousness, Gestalt psychology, Harmonic resonance",BF 311 .L44 2003
4360,Endangered minds : why our children don't think / Jane M. Healy.,"Learning, Psychology of, Learning -- Physiological aspects, Neuropsychology",BF 318 .H38 1991
4361,Dramatic play in childhood : rehearsal for life / by Virginia Glasgow Koste ; sketches by Susan Russell.,"Play -- Psychological aspects, Drama -- Psychological aspects, Child psychology",BF 717 .K67 1995
4362,"The multiplicity of dreams : memory, imagination, and consciousness / Harry T. Hunt.","Dreams, Dreams -- Research, Cognitive psychology",BF 1078 .H86 1989
4363,Subject and agency in psychoanalysis : which is to be master? / Frances M. Moran.,"Psychoanalysis -- Philosophy -- History, Self -- Philosophy -- History, Will -- Philosophy -- History, Freud, Sigmund, 1856-1939",BF 175 .M67 1993
4364,Do it! : let's get off our buts / by John-Roger and Peter McWilliams.,"Motivation (Psychology), Success, Success -- Psychological aspects, Happiness, Life skills, Life",BF 503 .J63x 1991
4365,"The Application of child development research to exceptional children / James J. Gallagher, editor ; [art and design by Peter Jones ; photos. by Ellen Foscue Johnson].","Child psychology -- Research, Exceptional children -- Research",BF 722 .A66
4366,Thinking in sound : cognitive perspectives on human audition / edited by Stephen McAdams and Emmanuel Bigand.,"Auditory perception, Listening, Cognition",BF 323 .L5 T45 1993
4367,The principles of psychology / William James.,Psychology,AC 1 .G72 1982 vol.53
4368,The dream poet / by Richard Jones.,"Dreams, Creation (Literary, artistic, etc.), Consciousness, Human evolution",BF 1078 .J628
4369,L'oroscopo di Francesco Guicciardini / a cura e con una introduzione di Raffaella Castagnola.,"Guicciardini, Francesco, 1483-1540 -- Miscellanea, Horoscopes -- Early works to 1800",BF 1728 .G84 M35 2019
4370,Cognitive skills and their acquisitions / [edited by] John R. Anderson.,"Cognition -- Congresses, Learning, Psychology of -- Congresses",BF 311 .S83 1980
4371,Speech pathology with methods in speech correction.,Speech,BF 455 .H278
4372,Partisans in an uncertain world : the psychoanalysis of engagement / Paul Hoggett.,"Psychoanalysis and culture, Civilization, Modern -- 20th century -- Psychological aspects, Social evolution -- Psychological aspects, Psychoanalysis -- Social aspects",BF 175.4 .C84 H64 1992
4373,"Exploring empathy : its propagations, perimeters and potentialities / edited by Rebeccah J. Nelems, L.J. Theo.",Empathy,BF 575 .E55 E86 2018
4374,"Handbook of attachment : theory, research, and clinical applications / edited by Jude Cassidy, Phillip R. Shaver.","Attachment behavior, Attachment behavior in children",BF 575 .A86 H36 2008
4375,"The Role of values in psychology and human development / William M. Kurtines, Margarita Azmitia, Jacob L. Gewirtz, editors.","Psychology -- Moral and ethical aspects, Developmental psychology -- Moral and ethical aspects, Values -- Psychological aspects, Moral development",BF 76.4 .R65 1992
4376,Textbook for teachers and students of the Brotherhood of the White Temple.,None,BF 1999 .B76x
4377,A handbook for ministers of the Brotherhood Church of the Brotherhood of the White Temple.,None,BF 1999 .B76x
4378,Master of destiny : a message to the seeker of divine truth.,None,BF 1999 .B76x
4379,The true Christ-teaching : a message to sincere seekers of Christian truth ...,None,BF 1999 .B76x
4380,A message to the seeker of divine truth.,None,BF 1999 .B76x
4381,The laws of magnetic healing [and other articles].,Occultism,BF 1999 .B76x
4382,Chelas of Melchesideck.,None,BF 1999 .B76x
4383,"Inspiration / [Marjorie Fry, editor].",None,BF 1999 .B76x
4384,Flying saucers : an occult viewpoint.,Unidentified flying objects,BF 1999 .B76x
4385,Christ and the last days.,None,BF 1999 .B76x
4386,The coming avatar.,None,BF 1999 .B76x
4387,America's future and the coming avator : a prophecy concerning world events of the present and the future / by Doreal.,None,BF 1999 .B76x
4388,Messiah aggadoth.,None,BF 1999 .B76x
4389,Psychological and social structures / Sandor B. Brent.,"Psychology -- Philosophy, Social sciences -- Philosophy, Structuralism",BF 38 .B655 1984
4390,Frustration theory : an analysis of dispositional learning and memory / Abram Amsel.,"Frustration, Reward (Psychology), Psychobiology, Experimental, Human behavior -- Animal models",BF 575 .F7 A553 1992
4391,"The question of sex differences : psychological, cultural, and biological issues / Katharine Blick Hoyenga, Kermit T. Hoyenga.","Sex differences (Psychology), Sex differences",BF 692.2 .H69
4392,"Problems of information processing and perceptual organization / editor-in-chief, Lajos Kardos, assistant editor, Csaba Pléh, consultant editor Magda L. Marton.","Perception, Human information processing",BF 311 .P744
4393,You unlimited : through the secret power within you / by Norman S. Lunde.,Success,BF 639 .L883
4394,Envy : a theory of social behaviour / by Helmut Schoeck ; [translated from the German by Michael Glenny and Betty Ross].,"Envy, Envy -- Social aspects",BF 575 .E65 S3213
4395,Studies in spiritual harmony / by Ione [pseud.].,New Thought,BF 639 .B7
4396,"What is, is! : encouraging yourself to accept what you can't change-- and to change what you can / Lewis E. Losoncy, Diane G. Losoncy.","Encouragement, Self-acceptance",BF 637 .E53 L67 1997
4397,The making of personality.,"Personality, New Thought",BF 639 .C3
4398,The book of life / by Robert Collier.,New Thought,BF 639 .C67 1925 vol.1
4399,The secret of gold : how to get what you want / Robert Collier.,New Thought,BF 639 .C66 vol.1
4400,Living counterparts : a study of vibration.,"Vibration, Telepathy",BF 639 .D2
4401,Beyond words and thoughts: from the metaphysical consciousness to the mystical [by] Joel S. Goldsmith; edited by Lorraine Sinkler.,New Thought,BF 639 .G5574 1969
4402,Culture of courage / by Frank Channing Haddock.,"New Thought, Courage",BF 630 .H15 1919
4403,The culture of courage : a practical companion-book for unfoldment of fearless personality through the white life of reason and harmony / by Frank Channing Haddock ...,"New Thought, Courage",BF 639 .H15 1916
4404,The Seer in Celtic and other traditions / edited by Hilda Ellis Davidson.,"Prophets, Precognition",BF 1791 .S43x 1989
4405,Your path direct to the goal you desire / by Brown Landone.,"New Thought, Prayer",BF 638 .L35x pt.1
4406,The eyes of the blind.,"Father Divine, New Thought",BF 639 .L205 1938
4407,"Postmodern self psychology / Arnold Goldberg, editor.",Self psychology,BF 697 .P677x 2002
4408,A psychology of human strengths : fundamental questions and future directions for a positive psychology / edited by Lisa G. Aspinwall and Ursula M. Staudinger.,Psychology,BF 121 .P763 2003
4409,Jacques Lacan / Anika Lemaire ; translated [from the French] by David Macey.,"Lacan, Jacques, 1901-1981, Psycholinguistics, Psychoanalysis",BF 455 .R4813
4410,Psychology for social workers / [edited by] Martin Herbert.,"Psychology, Social service, Social work education",BF131 .P748x 1986
4411,"How to get what you want, by Orison Swett Marden.",New Thought,BF 639 .M245
4412,A new philosophy of life / by John Herman Randall.,New Thought,BF 639 .R2 1911
4413,Mental radio : how to tune-in your mental radio to bring you anything you want : a course of twelve class lessons in everyday living.,New Thought,BF 645 .R49x
4414,Christian mind healing : a course of lessons in the fundamentals of new thought.,New Thought,BF 639 .R75
4415,The quickest way to everything good : you can get what you want if you put this first.,New Thought,BF 638 .R878x 1955
4416,The book of books / by Annalee Skarin.,"New Thought, Church of Jesus Christ of Latter-day Saints -- Doctrines",BF 639 .S633x 1972
4417,Sons of God / by Christine Mercie.,"New Thought, Skarin, Annalee, 1899-1988",BF 639 .S637x 1961
4418,"Ye are gods,  volume II / Annalee Skarin.","New Thought, Church of Jesus Christ of Latter-day Saints -- Doctrines",BF 639 .S64x vol.2 1949
4419,"Inmurhwa e ŭihan kanpʻyŏn chinŭng kŏmsa : chŏngsanga mit chŏngsin pagyaga kongyong / Kim Chae-ŭn, Kim Tong-gŭk, Yŏ Kwang-ŭng kongjŏ.","Intelligence tests -- Korea (South), Children with mental disabilities, Figure drawing, Human figure in art",BF 431.5 .K6 K56x 1973
4420,"In tune with the infinite ; or, Fullness of peace, power, and plenty/ by Ralph Waldo Trine.",New Thought,BF 639 .T663
4421,"The California School of Professional Psychology handbook of multicultural education, research, intervention, and training / edited by Elizabeth Davis-Russell ; foreword by Connell F. Persico.","Cross-cultural counseling, Cultural psychiatry, Psychologists -- Training of -- Social aspects",BF 637 .C6 C27 2002
4422,Aids and precautions in administering the Illinois Test of Psycholinguistic Abilities / Winifred D. Kirk.,"Illinois test of psycholinguistic abilities, Psycholinguistics -- Ability testing",BF 431 .K49
4423,Managing distressing thoughts in adults with and without Autism : the role of cognitive fusion and the effectiveness of a brief defusion intervention / Max Emanuel Maisel.,"autism spectrum disorder, cognitive defusion, acceptance and commitment therapy, mindfulness, thought believability",None
4424,The Edinburgh lectures on mental science / by Thomas Troward ...,New Thought,BF 639 .T73 1927
4425,Can we live forever? / by Frances G. Welsh ; introduction by Frank M. Welsh.,"New Thought, Will, Psychology and religion",BF 639 .W43
4426,The life radiant / by Lilian Whiting ...,"Spiritual life, New Thought",BF 639 .W56
4427,The world beautiful.,New Thought,BF 639 .W58 vol.1
4428,"The general factor of intelligence : how general is it? / edited by Robert J. Sternberg, Elena L. Grigorenko.","General factor (Psychology), Intellect",BF 433 .G45 G46 2002
4429,"Through silence to realization, or, The human awakening ...",New Thought,BF 639 .W67
4430,"Play, dreams and imitation in childhood / by Jean Piaget ; translated by C. Gattegno and F. M. Hodgson.","Child development, Imitation, Play -- United States, Symbolism, Child psychology",BF 721 .P452 1962
4431,Design and analysis of experiments in psychology and education / E.F. Lindquist.,Psychology -- Methodology,BF 39 .L5x 1953
4432,"Optimism & pessimism : implications for theory, research, and practice / edited by Edward C. Chang.","Optimism, Pessimism",BF 698.35 .O57 O68 2001
4433,Zur psychologischen Persönlichkeitsforschung / hrsg. von Manfred Vorwerg.,"Personality -- Research, Personality",BF 698 .Z85 vol.1
4434,Friends and enemies : peer relations in childhood / Barry H. Schneider.,"Peer pressure in children, Peer pressure in adolescence, Interpersonal relations in adolescence, Interpersonal relations in children",BF 723 .I646 S36 2000
4435,"Race and intelligence / edited by C. Loring Brace, George R. Gamble, and James T. Bond.",Black people -- Intelligence levels,BF 432 .N5 R33
4436,Addiction and weakness of will / Lubomira Radoilska.,"Will, Self-control, Compulsive behavior, Akrasia",BF 632 .R33x 2013
4437,"Victorian psychology and British culture, 1850-1880 / Rick Rylance.","Bain, Alexander, 1810-1877, Spencer, Herbert, 1820-1903, Lewes, George Henry, 1817-1878, Psychology -- Great Britain -- History -- 19th century, Psychology in literature, Great Britain -- Civilization -- 19th century",BF 108 .G7 R95 2000
4438,Improving aural comprehension : student's workbook / Joan Morley.,Listening -- Study and teaching,BF 323 .L5 M632x
4439,Primitive Christianity ...,"Bible and spiritualism, Psychometry (Parapsychology)",BF 1275 .B5 B8 vol.2
4440,"Reflective thinking in educational settings : a cultural framework / edited by Alessandro Antonietti, Emanuela Confalonieri, Antonella Marchetti.","Critical thinking, Reflective learning, Cognitive learning, Thought and thinking, Cognition and culture",BF 441 .R395 2014
4441,"Perceptual organization / edited by Michael Kubovy, James R. Pomerantz.","Gestalt psychology, Visual perception, Auditory perception",BF203 .P3
4442,Understanding the counselling relationship / edited by Colin Feltham.,Counselor and client,BF 637 .C6 U52 1999
4443,"Meeting the needs of children : creating trust and security, [by] Louis E. Raths.","Child psychology, Need (Psychology)",BF 723 .M56 R37
4444,Dialogue with Erik Erikson / by Richard I. Evans.,"Erikson, Erik H. (Erik Homburger), 1902-1994, Psychoanalysis",BF 109 .E7 E9 1967
4445,Learn to relax : 13 ways to reduce tension / C. Eugene Walker.,"Anxiety, Relaxation, Conduct of life",BF 575 .A6 W34
4446,"Witch-hunting in seventeenth-century New England : a documentary history, 1638-1692 / edited and with an introduction by David D. Hall.","Witchcraft -- New England -- History, Persecution -- New England -- History, New England -- Social life and customs -- To 1775",BF 1575 .W62 1991
4447,The Klein-Winnicot dialectic : transformative new metapsychology and interactive clinical theory / Susan Kavaler-Adler.,Psychoanalysis,BF 175 .K38x 2014
4448,Boundaries and bridges : perspectives on time and space in psychoanalysis / Andrea Sabbadini.,Psychoanalysis,BF 173 .S33x 2014
4449,A felt sense : more explorations of psychoanalysis and Kabbalah / Michael Eigen.,"Psychoanalysis, Cabala -- History, Cabala -- Psychological aspects",BF 175 .E34x 2014
4450,"Cognition, metacognition, and reading / Donna-Lynn Forrest-Pressley, T. Gary Waller.","Reading, Psychology of, Cognition in children, Children -- Language, Memory in children, Attention in children",BF456.R2 F67 1984
4451,"Intelligence, heredity and environment / Philip E. Vernon.","Intellect, Nature and nurture",BF 431 .V397
4452,"Beyond the box : B.F. Skinnner's technology of behavior from laboratory to life, 1950s-1970s / Alexandra Rutherford.","Skinner, B. F. (Burrhus Frederic), 1904-1990, Behaviorism (Psychology)",BF 199 .R88x 2009
4453,Climate for creativity; report. Editor: Calvin W. Taylor.,Creative ability -- Congresses,BF 408 .N35 1966
4454,"The journals of A. H. Maslow / edited by Richard J. Lowry for the International Study Project, Inc. in cooperation with Bertha G. Maslow ; [frontispiece photo by William Carter].","Maslow, Abraham H. (Abraham Harold), Psychologists -- United States -- Biography",BF 109 .M33 A34 vol.1
4455,"Intimacy and alienation : memory, trauma and personal being / Russell Meares ; with a foreword by Thomas Ogden.","Self, Counseling, Psychotherapy, Alienation (Social psychology), Intimacy (Psychology), Self (Philosophy)",BF 697 .M42 2000
4456,Decision theory and rationality / José Luis Bermúdez.,"Decision making, Practical reason",BF 448 .B465 2009
4457,"Modern applications to group work / Kevin A. Fall, Justin E. Levitov, editors.","Group counseling, Group psychotherapy",BF 637 .C6 M57 2000
4458,"Handbook of counseling psychology / edited by Steven D. Brown, Robert W. Lent.","Counseling, Psychology, Applied",BF 637 .C6 H315 1984
4459,Looking and seeing : the role of visual communication in social interaction / by D. R. Rutter.,"Body language, Gaze -- Psychological aspects",BF 637 .C45 R9 1984
4460,"L'humeur noire : mélancolie, écriture et pensée en Espagne aux XVIème et XVIIème siècles / Christine Orobitg.","Melancholy -- History, Spain -- Civilization -- 1516-1700",BF 575 .M44 O76 1997
4461,The Unconscious reconsidered / edited by Kenneth S. Bowers and Donald Meichenbaum.,"Subconsciousness, Personality",BF 315 .U63 1984
4462,"Applications of personal control / edited by Andrew Baum, Jerome E. Singer.",Control (Psychology),BF632.5 .A66
4463,"Bullying in different contexts / edited by Claire P. Monks, Iain Coyne.",Bullying,BF 637 .B85 B8572 2011
4464,Cognitive development and working memory : a dialogue between neo-Piagetian and cognitive approaches / edited by Pierre Barrouillet and Vinciane Gaillard.,"Short-term memory, Cognition, Cognition in children",BF 378 .S54 C64 2011
4465,"The creation of imaginary worlds : the role of art, magic & dreams in child development / Claire Golomb.","Imagination in children, Child psychology, Child development",BF 723 .I5 G65 2011
4466,Self-identity and everyday life / Harvie Ferguson.,"Self, Identity (Psychology)",BF 697 .F447 2009
4467,Spontaneity : a psychoanalytic inquiry / Gemma Corradi Fiumara.,"Individuation (Psychology), Reaction time, Human information processing, Psychoanalysis and philosophy, Subjectivity",BF 175.5 .I53 C67 2009
4468,Über Wirkungen akustischer Reize mit unterschiedlicher emotionaler Valenz / Günter Debus.,"Sound -- Psychological aspects, Sound -- Experiments",BF251 .D43x
4469,"Mechanisms of adaptive behavior : Clark L. Hull's theoretical papers, with commentary / [edited by] Abram Amsel and Michael E. Rashotte.","Conditioned response, Learning, Psychology of, Behaviorism (Psychology)",BF319 .H833 1984
4470,Verarbeitungsmuster von Misserfolg : eine Motivationsstudie zu Veränderungen in der Kognitiven Struktur / Peter Nenninger.,"Cognition, Cognitive dissonance, Motivation (Psychology)",BF 311 .N46x
4471,"Die Legende von den ""geheimen Verf端hrern"" : kritische Analysen zur unterschwelligen Wahrnehmung und Beeinflussung / Horst W. Brand.",Subliminal perception,BF 323 .S8 B73x
4472,"Toward a unified theory of development : connectionism and dynamic systems theory re-considered / edited by John P. Spencer, Michael S.C. Thomas, James L. McClelland.","Developmental psychology, Cognitive psychology, Connectionism, Differentiable dynamical systems, Dynamics",BF 713 .T69 2009
4473,"Selecting members for group therapy : a validation study of the Group Selection Questionnaire / by Jonathan Charles Cox, B.S.",Group psychotherapy,None
4474,A comprehensive guide to the cannabis literature / compiled by Ernest L. Abel.,"Cannabis -- Bibliography, Marijuana -- Bibliography",BF 209 .C3 X24
4475,Political theories of narcissism : towards self-reflection on knowledge and politics from the psychoanalytical perspectives of Erich Fromm and Fujita Shōzō / Takamichi Sakurai.,"Fromm, Erich, 1900-1980, Fujita, Shōzō, 1927-2003, Personality and politics, Narcissism -- Political aspects, Political science -- Philosophy",None
4476,"Freud, biologist of the mind : beyond the psychoanalytic legend / Frank J. Sulloway.","Freud, Sigmund, 1856-1939, Psychoanalysis -- History, Psychobiology",BF 173 .F85 S79
4477,"Perception beyond inference : the information content of visual processes / edited by Liliana Albertazzi, Gert J. van Tonder, and Dhanraj Vishwanath.","Visual perception, Cognitive neuroscience",BF 241 .P433 2010
4478,The psychology of prejudice : from attitudes to social action / Lynne M. Jackson.,"Prejudices -- Psychological aspects, Prejudices -- Religious aspects, Prejudices -- Prevention",BF 575 .P9 J29 2011
4479,Xin li xue qu tan / Wang Shumao bian zhu.,Psychology,BF149 .W35 1985
4480,Returning home : reconnecting with our childhoods / Jerry M. Burger.,"Place attachment, Dwellings -- Psychological aspects, Home -- Psychological aspects, Reminiscing",BF 353 .B87 2011
4481,"Theories of mood and cognition : a users handbook / edited by Leonard L. Martin, Gerald L. Clore.",Emotions and cognition,BF 531 .T52 2001
4482,"Gedächtnis und die Verarbeitung sozialer Information / Reinhard Leichner, Caspar Jüttner.","Memory, Human information processing",BF 371 .L45x
4483,Social representations and the development of knowledge / edited by Gerard Duveen and Barbara Lloyd.,"Social perception in children -- Congresses, Social perception -- Congresses, Social role -- Congresses",BF 723 .S6 S66 1990
4484,Thinking with demons : the idea of witchcraft in early modern Europe / Stuart Clark.,"Witchcraft -- Europe -- History, Europe -- Religion",BF 1584 .E9 C57 1997
4485,Developmental behavior : a humanistic approach / Raymond F. Gale.,"Genetic psychology, Self, Self-actualization (Psychology)",BF701.G18 1969
4486,"Essentials of nonverbal assessment / R. Steve McCallum, Bruce A. Bracken, John D. Wasserman.",Intelligence tests for preliterates,BF 432.5 .I55 M33 2001
4487,Wesen und Wirkung des Symbolbegriffs.,"Symbolism, Language and languages",BF 458 .C3 1965
4488,Der Widerspruch im Subjekt : ethopsychoanalytische Studien / Paul Parin.,"Ethnopsychology, Psychoanalysis, Social psychology",BF734 .P37x
4489,Yin yang xue : qu ji bi xiong di shi yong jue xue / Liu Xunsheng zhu.,"Astrology, Chinese, Feng shui, Yin-yang",BF 1714 .C5 L665 1979
4490,Typen und Schichten : zur Einteilung des Menschen und seiner Produkte / Wolfgang Victor Ruttkowski.,Typology (Psychology),BF818 .R88x
4491,"Posttraumatic growth : theory, research and applications / Richard G. Tedeschi [and three others].","Suffering, Posttraumatic growth, Life change events -- Psychological aspects",BF 789 .S8 T4295 2018
4492,"On the verge of tears : why the movies, television, music, art, popular culture, literature, and the real world make us cry / edited by Michele Byers and David Lavery.","Crying, Crying -- Social aspects",BF 575 .C88 O5x 2010
4493,"The God instinct : the psychology of souls, destiny and the meaning of life / Jesse Bering.","Spirituality -- Psychological aspects, Religion and science, Life -- Religious aspects -- Christianity",BF 51 .B47 2011
4494,Xin li xue / Zhang Zhiguang zhu bian ; Guo Zhanji fu zhu bian ; Xiao Qianying ... [et al.] bian.,Psychology,BF 128 .C5 H786 1985
4495,"Emotion-focused couples therapy : the dynamics of emotion, love, and power / Leslie S. Greenberg, Rhonda N. Goldman.","Emotions, Self, Marital psychotherapy",BF 531 .G74 2008
4496,Der deutsche Volksaberglaube der Gegenwart.,"Superstition, Folklore -- Germany, Mythology, Germanic, Germany -- Social life and customs",BF 1434 .G5 W8 1900
4497,The sex game / Jessie Bernard.,"Sex (Psychology), Communication -- Psychological aspects",BF 692 .B4
4498,Babylonian star-lore : an illustrated guide to the stars and constellations of ancient Babylonia / written & illustrated by Gavin White.,"Astrology, Assyro-Babylonian",BF 1714 .A86 W45x 2014
4499,La superstition a travers les âges / Andrée Ruffat.,Superstition,BF 1775 .R8
4500,Hidden language codes : discard a weak language of doubt and excuse and acquire a vocabulary of power and sovereignty / R. Neville Johnston.,"Self-actualization (Psychology) -- Miscellanea, Language and languages -- Miscellanea",BF 1045 .S44 J64 2005
4501,History of the International Union of Psychological Science (IUPsyS) / Mark R. Rosenzweig ... [et al.],International Union of Psychological Science -- History,BF 11 .H57x 2000
4502,Eros of the impossible : the history of psychoanalysis in Russia / Alexander Etkind ; translated by Noah and Maria Rubins.,"Psychoanalysis -- Soviet Union -- History, Psychoanalysis -- Russia (Federation) -- History, Psychoanalysis and literature",BF 175 .E8313 1997
4503,Child psychology and development. Louis P. Thorpe ; with the collaboration of Virginia Johnson.,Child psychology,BF 721 .T47
4504,"Individual differences, theories and applications / Vivian Shackleton and Clive Fletcher.","Individuality, Difference (Psychology)",BF 697 .S46 1984
4505,Aspects of nonverbal communication / edited by Walburga Von Raffler-Engel.,Nonverbal communication,BF 637 .C45 A86
4506,Love after Auschwitz - the second generation in Germany : Jewish children of survivors of the Nazi persecution in the Federal Republic of Germany and their experience with love relationship / Kurt Grünberg ; with a foreword by Eva Fogelman.,"Jews -- Germany -- History -- 1945-, Love -- Germany (West) -- Psychological aspects, Interpersonal relations and culture -- Germany (West)",None
4507,Incarnation : a plea from the masters / by Wilfred Brandon ; transcribed by Edith Ellis.,"Reincarnation, Automatism",BF 1311 .R35 E6
4508,"The strange effects of faith ; with remarkable prophecies (made in 1792, &c.) of things which are to come : also, some account of my life ... / Joanna Southcott.",Prophecies,BF 1815 .S68
4509,"Quellen und Untersuchungen zur Geschichte des Hexenwahns und der Hexenverfolgung im Mittelalter / von Johannes Franck ; mit einer Untersuchung der Geschichte des Wortes Hexe, von Johannes Franck.","Witchcraft -- History -- Sources, Magic -- History -- Sources",BF 1504 .H3
4510,The golden well; an anatomy of symbols.,Symbolism,BF 1623 .S9 D6 1950
4511,"Talismans dévoilés : talismans, porte-bonheur, pantacles ... / Yves Gaël.","Talismans, Amulets",BF 1561 .G35x 1973
4512,Sons of God / by Christine Mercie.,"New Thought, Skarin, Annalee, 1899-1988",BF 639 .S637x 1961
4513,None,None,None
4514,"Les prodiges dans l'antiquité classique, (Grèce, Étrurie et Rome)",Omens,BF 1777 .B65
4515,Disasters and dilemmas : strategies for real-life decision making / Adam Morton.,"Decision making, Conflict (Psychology)",BF 448 .M67 1991
4516,Damn good advice (for people with talent!) : how to unleash your creative potential by America's master communicator / George Lois.,"Creation (Literary, artistic, etc.), Creativity in advertising",BF 408 .L76x 2012
4517,The paradox of choice : why more is less / Barry Schwartz.,"Choice (Psychology), Decision making",BF 611 .S38 2004
4518,Centers of power : the convergence of psychoanalysis and Kabbalah / Joseph H. Berke and Stanley Schneider.,"Psychoanalysis, Cábala",BF 175 .B453 2008
4519,The psychology of art and the evolution of the conscious brain / Robert L. Solso.,"Consciousness, Cognition, Brain -- Evolution, Visual perception, Art -- Psychology",BF 311 .S652 2003
4520,Casting the circle : a women's book of ritual / by Diane Stein.,"Ritual, Women -- Religious life, Goddess religion -- Rituals",BF 1623 .R6 S74 1990
4521,"Piagetian theory and its implications for the helping professions : emphasis, social work, and psychological services : proceedings : seventh interdisciplinary conference / co-sponsored by University Affiliated Program, Childrens Hospital of Los Angeles and the University of Southern California Schools of Social Work and Education ; editors, Rama Weizmann ... [et al.].","Piaget, Jean, 1896-1980, Child psychology -- Congresses, Mentally ill children -- Education -- Congresses",BF 721 .I52 1977 vol.1
4522,The science of child-adolescent behavior / Paul D. Clarke.,Developmental psychology,BF713 .C63x
4523,Journals in psychology : a resource listing for authors.,"Psychology -- Authorship, Psychology -- Periodicals -- Publishing -- Directories, Psychology -- United States -- Authorship, Psychology -- Periodicals -- Publishing -- United States -- Directories",BF 76.8 .J68 1997
4524,"Statistical learning models for behavior of an artificial organism / Frank N. Marzocco, Philip R. Bartram.","Learning, Psychology of",BF 318 .M37x 1961
4525,Abhandlung über entstehung Inhalt und Werth der sibyllischen Bücher ...,Oraculina Sibyllina. English,BF 1769 .E94
4526,The social psychology of adolescence / Hilmar Wagner.,"Adolescent psychology, Social psychology",BF 724 .W35x
4527,The Handbook of emotion and memory / edited by Sven-Åke Christianson.,"Emotions, Memory, Psychiatry",BF 311 .H355 1992
4528,Interaction rhythms : periodicity in communicative behavior / edited by Martha Davis.,"Body language -- Congresses, Rhythm -- Psychological aspects -- Congresses",BF 637 .C45 I55
4529,Essai sur la démonologie iranienne / par Arthur Christensen.,"Mythology, Indo-European, Demonology",BF 1517 .I7 C416
4530,Creative collaboration / Vera John-Steiner.,"Creative thinking, Creation (Literary, artistic, etc.), Artistic collaboration, Authorship -- Collaboration",BF 408 .J48 2000
4531,"Polarities of experience : relatedness and self-definition in personality development, psychopathology, and the therapeutic process / Sidney J. Blatt ; foreword by Peter Fonagy.","Personality, Mental representation, Relatedness (Psychology), Psychotherapy, Developmental psychology",BF 698 .B53 2008
4532,The Q-sort in character appraisal : encoding subjective impressions of persons quantitatively / Jack Block.,"Personality assessment, Psychiatry -- Research, Psychology -- Methodology",BF 698.4 .B55 2008
4533,"Excuses : masquerades in searches of grace / C.R. Snyder, Raymond L. Higgins, Rita J. Stucky.",Excuses -- Psychological aspects,BF 637 .E95 S68 1983
4534,Emotions : experiences in existential psychotherapy and life / Freddie Strasser.,"Emotions, Existential psychotherapy, Psychotherapy",BF 531 .S73x 1999
4535,Social psychology of identity and the self concept / edited by Glynis M. Breakwell.,"Self-perception, Identity (Psychology), Social psychology",BF 697.5 .S43 S63 1992
4536,Introduction to normal auditory perception / Faith Loven.,"Auditory perception, Psychoacoustics",BF 251 .L684x 2009
4537,The critique of psychology : from Kant to postcolonial theory / Thomas Teo.,"Psychology -- History, Psychology and philosophy",BF 81 .T46x 2005
4538,Lost time : on remembering and forgetting in late modern culture / David Gross.,"Memory -- Social aspects, Memory",BF 378 .S65 G76 2000
4539,Philosophy and cognitive science / James H. Fetzer.,"Cognitive science, Psychology and philosophy",BF 311 .F435 1991
4540,La astrología en la obra de Quevedo : una clave de lectura / Alessandro Martinengo.,"Astrology -- History -- 17th century, Quevedo, Francisco de, 1580-1645",BF 1679 .M37 1983
4541,Body movement and interpersonal communication / Peter Bull.,"Body language, Movement, Psychology of",BF 637 .C45 B84 1983
4542,Minds in the making : essays in honor of David R. Olson / edited by Janet Wilde Astington.,"Cognition in children, Philosophy of mind in children, Children -- Language",BF 723 .C5 M56 2000
4543,The adolescent passage : developmental issues / Peter Blos.,"Adolescent psychology, Adolescent psychiatry",BF 724 .B498
4544,Out-of-body experiences : a handbook / by Janet Lee Mitchell.,Astral projection,BF 1389 .A7 M55
4545,Ethnic awareness : the effect of the degree of contact on the accuracy of stereotypes / by Taleb Khairallah.,"Ethnic groups, Race awareness, Awareness, Stereotypes (Social psychology)",None
4546,Untersuchungen : uber den Lebensmagnetismus und das Hellsehen / von Johann Carl Passavant.,Animal magnetism,BF 1325 .P37x 1821
4547,"Human performance : cognition, stress and individual differences / Gerald Matthews ... [et al.].",Performance,BF 481 .H84 2000
4548,On desire : why we want what we want / William B. Irvine.,Desire,BF 575 .D4 I78 2006
4549,Liberating the mind : overcoming sociocentric thought and egocentric tendencies / Linda Elder ; foreword by Gerald Nosich.,"Critical thinking, Egoism",BF 441 .E4247x 2019
